STATE,TIME_START,TIME_END,IS_CLOSED,COMPONENT_NAME
HV trip,14-JUN-17 12.20.33.358000000 PM,14-JUN-17 12.30.36.745000000 PM,1,ME+4/2/18/6/HVSegment5
HV trip,14-JUN-17 12.26.24.453000000 PM,14-JUN-17 12.36.27.794000000 PM,1,ME+2/1/11/3/HVSegment3
HV trip,14-JUN-17 12.30.07.197000000 PM,14-JUN-17 12.40.10.565000000 PM,1,ME-4/2/15/1/HVSegment5
HV trip,14-JUN-17 12.32.37.540000000 PM,14-JUN-17 12.42.40.780000000 PM,1,ME-3/2/36/2/HVSegment1
HV trip,14-JUN-17 12.39.18.886000000 PM,14-JUN-17 12.49.22.289000000 PM,1,ME+3/1/02/1/HVSegment2
HV trip,14-JUN-17 12.49.01.546000000 PM,14-JUN-17 12.59.04.877000000 PM,1,ME-3/1/18/4/HVSegment2
HV trip,14-JUN-17 12.58.21.412000000 PM,14-JUN-17 01.08.25.085000000 PM,1,ME+4/2/33/6/HVSegment5
HV trip,14-JUN-17 01.28.28.552000000 PM,14-JUN-17 01.38.32.823000000 PM,1,ME+4/2/03/6/HVSegment5
HV trip,14-JUN-17 01.30.20.772000000 PM,14-JUN-17 01.40.24.151000000 PM,1,ME-2/1/09/2/HVSegment1
HV trip,14-JUN-17 01.38.20.717000000 PM,14-JUN-17 01.48.24.099000000 PM,1,ME+3/1/02/1/HVSegment2
HV trip,14-JUN-17 01.40.00.847000000 PM,14-JUN-17 01.50.04.147000000 PM,1,ME+2/1/11/3/HVSegment3
HV trip,14-JUN-17 01.52.18.652000000 PM,14-JUN-17 02.02.22.076000000 PM,1,ME+4/2/03/6/HVSegment5
HV trip,14-JUN-17 02.09.37.258000000 PM,14-JUN-17 02.19.40.530000000 PM,1,ME+2/1/13/6/HVSegment2
HV trip,14-JUN-17 02.32.02.609000000 PM,14-JUN-17 02.42.05.956000000 PM,1,ME+4/2/03/6/HVSegment5
HV trip,14-JUN-17 02.36.56.540000000 PM,14-JUN-17 02.46.59.767000000 PM,1,ME-1/3/20/1/HVSegment3
HV trip,14-JUN-17 02.52.29.470000000 PM,14-JUN-17 03.02.32.735000000 PM,1,ME-2/2/21/4/HVSegment1
